City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,childress,34.4264,-100.204,295.29,83,0,7.2,US,1714106003
1,grytviken,-54.2811,-36.5092,274.72,81,23,2.6,GS,1714106174
2,fort bragg,35.139,-79.006,291.23,67,0,4.63,US,1714106212
3,den burg,53.0542,4.7972,279.25,87,100,4.12,NL,1714106212
4,port mathurin,-19.6833,63.4167,299.74,76,17,6.42,MU,1714106167
5,puerto ayora,-0.7393,-90.3518,297.9,97,59,0.89,EC,1714105877
6,la ronge,55.1001,-105.2842,284.29,37,75,3.09,CA,1714106159
7,adamstown,-25.066,-130.1015,296.35,89,42,8.69,PN,1714106137
8,cadale,2.7603,46.3222,301.57,73,100,5.12,SO,1714106214
9,labrador city,52.9463,-66.9114,264.1,53,0,4.12,CA,1714106214
10,phibun mangsahan,15.2447,105.2291,311.14,25,5,5.04,TH,1714106215
11,penhalonga,-18.8911,32.6978,287.77,93,17,1.35,ZW,1714106215
12,port-aux-francais,-49.35,70.2167,278.69,84,99,6.94,TF,1714106121
13,alappuzha,9.49,76.3264,303.47,74,90,1.92,IN,1714106215
14,lebu,-37.6167,-73.65,285.27,88,97,2.61,CL,1714106217
15,west island,-12.1568,96.8225,303.14,74,75,6.69,CC,1714106148
16,ribeira grande,38.5167,-28.7,288.02,85,90,4.47,PT,1714106141
17,atafu village,-8.5421,-172.5159,302.29,76,27,4.87,TK,1714106137
18,vadso,70.0744,29.7487,275.24,75,100,2.57,NO,1714106218
19,thompson,55.7435,-97.8558,277.24,75,40,0.0,CA,1714106218
20,bredasdorp,-34.5322,20.0403,288.42,96,57,2.43,ZA,1714106154
21,puerto natales,-51.7236,-72.4875,273.3,81,33,2.65,CL,1714106163
22,isafjordur,66.0755,-23.124,274.7,76,33,0.41,IS,1714106150
23,ko pha ngan,9.7578,100.0291,304.53,71,97,1.58,TH,1714106220
24,ust-nera,64.5667,143.2,274.72,92,100,1.69,RU,1714106220
25,fort st. john,56.2499,-120.8529,276.09,75,75,6.69,CA,1714106221
26,georgetown,5.4112,100.3354,306.12,67,20,2.57,MY,1714106084
27,sitka,57.0531,-135.33,282.09,76,20,4.63,US,1714106194
28,la passe,45.5549,-0.8967,283.28,93,88,3.46,FR,1714106222
29,ust-tsilma,65.441,52.1498,272.38,92,100,4.02,RU,1714106222
30,tolanaro,-25.0319,46.9987,297.19,88,40,5.14,MG,1714106189
31,vila franca do campo,37.7167,-25.4333,288.38,78,82,3.43,PT,1714106188
32,iskateley,67.6803,53.1512,273.16,97,100,5.81,RU,1714106223
33,susuman,62.7833,148.1667,274.81,95,100,0.45,RU,1714105999
34,ardabil,38.2498,48.2933,279.9,61,0,2.06,IR,1714106224
35,papatowai,-46.5619,169.4708,280.5,79,88,7.23,NZ,1714106161
36,daru,-9.0763,143.2092,301.06,80,100,7.28,PG,1714106225
37,vorgashor,67.5833,63.95,268.04,93,100,3.0,RU,1714106225
38,kuusamo,65.9667,29.1833,273.17,69,0,3.09,FI,1714106226
39,tchintabaraden,15.8969,5.7985,299.49,16,26,1.39,NE,1714106226
40,sur,22.5667,59.5289,303.55,49,1,5.37,OM,1714106227
41,ushuaia,-54.8,-68.3,277.96,87,75,1.54,AR,1714106158
42,waitangi,-43.9535,-176.5597,289.72,91,100,4.92,NZ,1714106179
43,punta arenas,-53.15,-70.9167,272.21,86,0,3.09,CL,1714105897
44,touros,-5.1989,-35.4608,298.2,93,100,4.33,BR,1714106228
45,mahibadhoo,3.7833,72.9667,302.54,76,91,2.25,MV,1714106228
46,westport,41.1415,-73.3579,279.83,77,0,2.06,US,1714106061
47,ulsteinvik,62.3432,5.8487,277.46,76,100,2.24,NO,1714106229
48,kununurra,-15.7667,128.7333,305.14,35,13,5.66,AU,1714106177
49,wailua homesteads,22.0669,-159.378,299.39,73,75,7.2,US,1714106151
50,geraldton,-28.7667,114.6,302.38,26,0,1.54,AU,1714106230
51,bethel,41.3712,-73.414,279.02,75,0,0.89,US,1714106153
